name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Bellando, Adrian",31.23,63.78,134.18,142.77,183.52,233.68,284.32,335.37,353.38,13.48,30741,17055,2861,49,M,USA,MA,Somerville,31880
"Cotton, Sean L.",26.35,51.55,103.72,109.5,130.58,160.28,194.97,236.7,251.92,9.62,20419,12160,4276,30,M,USA,MA,Somerville,31881
"Rosenbaum, Whitney K.",32.15,64.68,131.97,139.43,167.95,210.7,257.92,305.67,325.58,12.43,29236,12896,6256,26,F,USA,MA,Cambridge,31882
"Jerdee, Kathryn T.",31.12,64.68,136.68,143.93,171.98,214.22,260.0,310.22,330.75,12.62,29567,13062,6331,27,F,USA,MA,Boston,31883
"Lankowski, Amie S.",28.77,56.8,113.68,119.87,142.93,173.15,209.27,245.62,263.28,10.05,22371,9318,1636,41,F,USA,SC,Bluffton,31884
"Starks, William N.",33.13,66.88,135.53,142.92,171.95,212.48,256.4,300.83,319.45,12.2,28822,16141,969,62,M,USA,FL,Estero,31885
"Grabner, Mickey C.",27.65,54.37,109.08,115.17,137.92,169.12,212.37,256.3,273.23,10.43,23934,13782,2452,49,M,USA,CT,Enfield,31886
"Stocks, Charles G.",24.63,47.85,95.88,101.28,121.58,150.08,180.75,210.15,222.82,8.5,13257,9105,1623,40,M,USA,NY,New York,31888
"Ludwig, Steven E.",34.57,68.25,138.3,146.02,171.32,206.37,242.18,277.32,292.9,11.18,26448,14967,5060,38,M,USA,CA,Hermosa Beach,31889
"Magni, Gillian M.",27.37,55.85,116.2,122.88,148.07,182.05,217.9,258.12,273.27,10.43,23940,10155,4965,32,F,USA,MA,Newton,31890
"Lukens, Jerry H.",32.1,65.55,136.68,144.5,174.47,217.7,274.65,329.33,348.82,13.32,30569,16977,2849,47,M,USA,UT,Sandy,31891
"Conger, Joseph D.",31.63,63.65,146.12,155.08,203.53,251.38,303.58,358.55,379.23,14.47,31399,17334,5848,36,M,USA,MD,Towson,31892
"Gennaro, Erica M.",29.67,59.02,118.23,124.73,148.32,180.12,213.75,247.53,263.0,10.03,22330,9293,4644,29,F,USA,MA,Somerville,31893
"Frigulietti, Andres A.",31.2,61.35,123.95,131.02,156.23,190.82,225.6,261.22,276.37,10.55,24333,13958,4755,39,M,USA,MA,Allston,31894
"Osei, Collins O.",30.07,60.25,124.77,131.67,159.73,202.52,247.43,293.35,312.85,11.93,28317,15905,5393,37,M,USA,MA,Chelmsford,31895
"Erker, Catherine M.",30.53,62.63,124.22,131.03,155.68,192.78,229.93,268.47,284.48,10.87,25421,10967,5307,28,F,USA,MA,Jamaica Plain,31896
"Hentschel, Lisa M.",30.2,62.52,128.58,135.65,163.22,202.42,245.88,285.5,301.47,11.5,27377,11960,1995,49,F,USA,MA,Danvers,31897
"McVay, Amanda M.",26.07,52.03,102.9,108.37,128.33,154.32,180.08,206.27,217.65,8.32,11673,3277,2309,23,F,USA,MA,Boston,31898
"Nicklas, Nancy",30.08,61.15,128.0,135.25,183.98,240.12,279.68,330.28,348.32,13.3,30548,13581,2225,41,F,USA,MA,Plymouth,31899
"Rogers, Michael R.",30.1,61.15,128.02,135.25,183.98,240.12,279.7,330.28,348.32,13.3,30549,16968,2848,49,M,USA,MA,Kingston,31900
"Swanson, Edmund T.",27.15,52.87,106.68,113.13,135.93,171.67,214.68,257.8,274.07,10.47,24041,13828,1380,55,M,USA,CA,San Francisco,31901
