name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Toran, Joyia C",25.82,51.8,103.37,109.03,129.42,159.62,190.05,220.82,233.95,8.93,16398,5963,3521,37,F,USA,IL,Chicago,19510
"Jaquez, Livis G.",24.27,48.58,97.48,102.7,121.42,145.95,171.12,195.87,206.83,7.9,8320,1653,1273,38,F,MEX,others,Monterrey,19511
"Schroer, Anne",25.82,51.28,103.03,108.75,129.92,157.67,186.07,213.62,225.47,8.6,14040,4601,2984,38,F,USA,KS,Olathe,19512
"Brown, Tara",24.77,50.6,104.57,110.53,132.52,162.13,193.58,225.35,238.7,9.12,17745,6725,1210,41,F,USA,CT,Newington,19513
"Donabedian, Christine",25.43,50.7,101.17,106.47,126.2,152.53,179.7,206.35,218.15,8.33,11843,3369,526,43,F,USA,WA,Vancouver,19514
"Gersch, Cindy",26.35,52.18,103.55,109.18,129.48,156.62,185.33,214.65,227.42,8.68,14586,4936,3121,39,F,USA,GA,Marietta,19515
"Campbell, Gary W",25.45,51.02,103.97,110.08,131.47,160.17,189.42,221.05,233.8,8.93,16348,10420,867,58,M,USA,CA,Elk Grove,19516
"Roegiers, Bruno",24.37,49.37,103.12,109.18,133.42,165.18,199.28,235.15,250.52,9.57,20130,12040,1149,56,M,FRA,others,Marquette Lez Lille,19517
"Merkley, Melinda A",26.65,51.83,103.43,109.1,130.12,160.37,187.78,219.57,232.6,8.88,16007,5734,3438,35,F,USA,UT,Taylorsville,19518
"Gans, Ellen H.",27.42,55.32,111.8,118.1,142.78,173.98,208.3,243.57,259.03,9.88,21700,8970,4523,30,F,USA,MN,Edina,19519
"Troll, Teresa",32.63,74.5,156.7,165.58,199.13,244.32,291.33,337.88,358.18,13.67,30884,13772,719,57,F,USA,TX,Lytle,19520
"Bouhaddou, Omar",26.13,52.2,104.32,109.98,130.37,157.67,185.28,212.42,224.57,8.57,13774,9333,676,57,M,USA,CA,Rancho Santa Fe,19522
"Mitchell, Robin",24.13,48.67,99.95,105.68,126.92,156.53,187.78,218.08,230.08,8.78,15327,5340,3282,39,F,USA,NY,Glenmont,19523
"Derose, Jordan",26.32,52.72,108.78,114.97,138.0,168.98,203.17,242.1,257.98,9.85,21486,8856,4482,37,F,USA,MO,Columbia,19524
"Webb, Catherine M.",23.28,46.77,95.58,101.03,123.3,151.5,182.07,211.9,225.9,8.62,14172,4679,3018,36,F,USA,CA,San Diego,19525
"Hodges, John A",25.07,50.35,100.42,105.85,125.57,151.43,178.28,205.13,216.93,8.28,11445,8291,105,64,M,USA,CA,Apple Valley,19527
"Snider, Kristen",24.55,48.17,96.53,101.92,121.62,148.25,176.62,203.95,215.85,8.23,11087,2970,2135,35,F,USA,WA,Seattle,19528
"Whitmore, Lisa D.",24.75,49.33,99.78,105.27,125.37,151.63,178.98,207.43,220.12,8.4,12462,3711,152,53,F,USA,WI,Waukesha,19530
"Rivetti, Karen",25.03,49.77,100.1,105.65,125.55,151.33,179.73,205.67,216.83,8.28,11405,3136,286,48,F,USA,PA,Sewickley,19531
"Ericson, Casey",24.17,49.13,99.52,104.9,125.48,153.52,185.17,216.33,229.58,8.77,15164,5251,938,41,F,USA,ME,Yarmouth,19533
"Williams, Rosemary E.",26.53,54.37,116.0,122.58,147.82,179.67,211.78,243.43,257.52,9.83,21395,8805,1519,47,F,USA,NJ,Montclair,19534
"Snow, Kent",25.32,50.87,102.82,108.48,129.9,159.52,191.75,223.7,237.75,9.08,17478,10899,966,57,M,USA,TX,Houston,19536
"Sowden, Jennifer L.",32.1,67.08,140.78,149.02,191.17,246.25,283.52,324.5,340.97,13.02,30172,13386,6506,38,F,USA,PA,Ambler,19537
"Enright, Monica",22.38,44.53,92.22,97.4,116.32,142.08,168.08,194.0,205.82,7.85,8028,1528,42,51,F,USA,NY,Massapequa,19538
"Fernandez, Stacey S",25.4,50.88,102.52,108.28,130.45,158.77,191.28,221.58,234.48,8.95,16573,6069,879,46,F,USA,MD,Lutherville,19539
"Dalton, Jackie R.",24.95,50.32,103.82,109.55,130.57,158.52,187.92,218.42,231.4,8.83,15689,5558,754,46,F,USA,MI,Ann Arbor,19540
"Grella, Tammy A",25.4,50.42,102.48,108.23,129.17,159.32,190.58,222.65,236.47,9.03,17138,6400,1141,40,F,USA,CT,Litchfield,19541
"Harbour, Phoebe",25.28,51.2,103.22,108.9,129.13,156.03,184.4,213.15,225.78,8.62,14140,4657,810,40,F,USA,TX,Mckinney,19542
"Duguid, Petra M.",26.0,52.02,104.72,110.38,131.2,158.7,186.57,213.4,224.45,8.57,13743,4425,772,42,F,GBR,others,Market Rasen,19543
"Pieper, Kirsten L.",25.67,51.35,109.03,115.1,138.88,173.55,208.97,243.02,258.75,9.88,21653,8944,1583,43,F,USA,IL,Blackstone,19544
"Wellman, Michael",27.68,55.7,112.1,118.22,141.25,173.48,206.15,243.52,258.37,9.87,21581,12677,1243,58,M,USA,TX,Austin,19546
"Smith, Dawn L",25.4,50.38,101.38,106.97,130.12,160.53,192.15,223.17,235.95,9.0,16997,6317,3645,37,F,USA,WI,Verona,19547
"Pinegin, Mikhail",23.7,46.32,94.9,100.07,119.35,146.78,175.47,209.43,224.42,8.57,13734,9313,674,57,M,RUS,others,Archangelsk,19548
"Sanchez, Geri Lynn",26.53,53.58,109.23,115.25,137.93,170.78,202.22,236.38,249.48,9.52,19949,7991,1340,49,F,USA,NM,Belen,19549
"Schroeder, Marylee",25.32,50.52,102.65,108.27,129.23,156.98,184.98,212.57,224.78,8.58,13844,4488,500,49,F,USA,MA,West Tisbury,19550
"Lord, Michael W.",25.6,51.6,103.17,108.83,129.17,156.28,185.8,217.5,231.5,8.83,15714,10142,261,60,M,USA,MD,Annapolis,19551
"Jones, Tracey A",26.42,53.03,107.0,112.65,134.33,163.25,191.95,221.28,234.25,8.95,16496,6026,872,48,F,USA,MA,Norwood,19552
"Nester, Suzanne E",26.93,81.4,184.28,195.72,237.53,290.73,342.05,389.7,409.8,15.63,31792,14286,2288,48,F,USA,WA,Bothell,19553
"Stanec, Amanda",25.63,51.2,102.37,107.93,128.05,155.07,183.35,209.77,221.7,8.47,12931,3964,2684,37,F,USA,MO,St. Louis,19554
"Kuroda, Teruko",25.02,49.7,98.93,104.4,123.58,149.38,176.12,202.0,213.1,8.13,10264,2553,1892,36,F,JPN,others,Tokyo,19555
"Graham, Natalie",25.4,50.18,99.42,104.73,124.13,149.48,175.27,200.37,212.0,8.1,9933,2386,1781,36,F,GBR,others,London,19556
"Desousa, Elizabeth R",23.95,48.1,97.2,102.63,122.08,148.07,175.33,203.78,215.82,8.23,11074,2963,99,51,F,USA,PA,Harrisburg,19557
"Bock, Christine N",26.92,55.75,116.0,122.23,146.83,178.78,213.15,248.08,263.78,10.07,22456,9367,1617,47,F,USA,VA,Ashburn,19558
"Pariseau Telge, Christine A.",23.68,47.77,100.17,106.12,127.62,157.23,188.03,217.32,230.25,8.78,15369,5371,704,46,F,USA,NH,Manchester,19559
"Gurzenda, Karen L",24.88,49.72,100.75,106.52,127.63,156.07,186.32,217.03,231.55,8.83,15731,5580,995,42,F,USA,PA,Harrisburg,19560
"Campbell, Susan M",25.13,50.0,100.0,105.43,124.93,150.85,177.78,205.55,217.77,8.32,11711,3300,511,41,F,CAN,NS,Waverley,19561
"Hintz, Beth",26.83,53.78,108.35,114.32,136.82,166.98,196.78,226.27,239.08,9.13,17841,6774,3804,36,F,USA,WA,Seattle,19562
"Schleis, Dave",27.23,55.35,112.63,119.18,142.13,172.43,206.18,245.18,262.32,10.02,22230,12997,1283,55,M,USA,WI,De Pere,19563
"Cohen, Lainie",26.95,55.27,109.68,114.82,138.45,167.8,196.85,223.43,234.75,8.97,16643,6107,3578,36,F,USA,NY,New York,19564
"Bolinger, Johna",24.6,49.15,99.9,105.52,125.73,153.35,182.93,212.63,226.75,8.65,14400,4819,263,52,F,USA,PA,Fayetteville,19565
"Brannelly, Jill M",22.88,44.8,92.48,97.7,115.95,140.07,166.25,192.25,203.72,7.78,7430,1282,995,36,F,USA,MA,Boston,19566
"Hoek, Nico",24.92,51.28,107.32,113.55,138.07,173.48,208.78,245.35,261.6,9.98,22112,12930,1275,56,M,NED,others,Heemstede,19568
"Coyle, Lisa G",24.9,49.77,101.85,107.63,129.02,159.68,192.58,224.63,238.25,9.1,17622,6663,3764,38,F,USA,VA,Vienna,19569
"Dutel, Alain",24.4,48.88,104.95,111.48,137.18,176.6,221.82,267.22,286.18,10.92,25634,14558,1459,58,M,FRA,others,Lyon,19570
"Gardiner, Justinia",26.28,52.13,102.93,108.38,128.32,155.72,184.73,214.42,226.98,8.67,14468,4858,3087,35,F,USA,CA,San Francisco,19571
"Bray, Gerald E",25.32,50.98,104.5,110.38,131.62,159.52,188.02,216.27,228.57,8.73,14910,9803,215,61,M,USA,MA,Duxbury,19572
"Taylor, Kirsten",30.6,60.22,118.27,124.55,148.72,182.37,219.88,259.08,276.55,10.55,24354,10386,5064,37,F,USA,DC,Washington,19574
"Silvis, David",26.28,51.92,103.68,109.35,129.63,155.98,182.88,208.98,220.25,8.42,12501,8771,577,55,M,USA,IL,Oak Park,19576
"Aroneanu, Andrei",24.33,48.97,99.58,105.13,125.65,152.83,180.97,208.62,221.27,8.45,12802,8910,597,59,M,USA,NJ,Ridgewood,19577
"Fu, Annie S",25.1,50.48,102.22,107.63,128.57,156.53,184.6,211.47,223.22,8.52,13373,4214,2807,38,F,USA,CA,Temple City,19578
"Evans, Monte",25.68,50.88,102.18,107.85,127.88,154.5,181.97,209.9,222.65,8.5,13202,9078,157,62,M,USA,VA,Mechanicsville,19579
"Yew, Jenny",24.63,50.37,103.27,109.18,130.93,160.25,191.62,223.3,237.25,9.05,17341,6504,1161,40,F,USA,CA,Rossmoor,19580
"Buschkamp, Margarett",25.72,51.03,101.47,106.98,127.17,155.07,183.97,210.52,222.03,8.48,13031,4021,678,40,F,USA,CA,San Francisco,19581
"Martinez Zepeda, Adriana",24.07,48.12,98.52,104.08,124.58,150.97,178.8,205.08,216.38,8.27,11252,3058,2186,38,F,MEX,others,Mexico,19582
"Hazard, Eleanor",25.03,50.47,104.98,111.3,136.43,170.27,205.55,241.6,258.17,9.85,21527,8878,4489,37,F,USA,VT,Burlington,19583
"Craighead, Ed",24.95,49.7,100.25,105.97,126.57,154.98,185.38,217.67,231.15,8.82,15608,10095,9,71,M,USA,TX,Dalhart,19584
"Bhangdia, Maria",25.08,49.62,100.23,105.83,126.3,153.9,182.52,210.0,222.55,8.5,13172,4105,429,46,F,USA,PA,Lewisburg,19585
"Hyland, Eileen",25.18,49.78,98.9,104.23,123.57,148.68,174.8,199.32,209.65,8.0,9226,2047,268,41,F,USA,TX,Austin,19586
"Matsuo, Miki",25.95,51.28,103.43,109.23,130.82,160.85,193.55,227.97,242.17,9.25,18518,7167,1289,44,F,USA,NM,Albuquerque,19587
"Salvador, Ricardo J",27.05,54.42,110.97,117.28,139.37,169.18,202.15,248.3,264.42,10.1,22567,13143,1300,56,M,USA,MD,Silver Spring,19588
"Lavangie, Diane",25.72,51.85,105.58,111.53,133.85,165.15,199.83,236.92,253.48,9.68,20682,8412,276,55,F,USA,ME,South Portland,19590
"Ricker, Kimberly M",25.45,50.72,101.5,106.97,127.02,153.8,180.97,207.55,218.98,8.37,12102,3515,345,47,F,USA,AZ,Glendale,19591
"Stiles, Angelia",24.05,48.6,99.45,105.0,125.63,152.45,182.4,209.13,221.63,8.47,12918,3954,665,42,F,USA,ID,Meridian,19593
"Spencer, Debbie M",25.5,51.13,102.63,108.1,128.17,154.38,182.47,209.7,221.62,8.47,12907,3948,662,41,F,USA,OH,Strongsville,19594
"Husty, Kristin",28.75,56.87,113.55,119.6,142.38,171.7,201.63,230.75,243.38,9.28,18784,7328,3989,36,F,USA,OH,Mansfield,19595
"Jellerichs, Mandy",24.18,47.88,96.48,101.93,122.15,149.77,177.75,204.1,215.57,8.23,11000,2926,2110,39,F,USA,CO,Denver,19596
"Perkins, Terra",25.07,49.63,102.82,108.57,131.02,160.15,190.6,220.37,233.05,8.9,16104,5789,3458,35,F,USA,WA,Olympia,19597
"Scribner, James",25.17,50.5,100.65,106.2,127.65,158.35,189.63,222.07,237.03,9.05,17278,10805,946,58,M,USA,OK,Coleman,19598
"Ruttenberg, Mark",25.12,50.53,102.98,108.88,131.3,163.38,197.22,233.12,248.03,9.47,19653,11824,499,60,M,USA,PA,Conneaut Lake,19599
"Nikolaou, Lambrina",25.0,51.45,107.22,113.2,136.55,166.8,198.42,227.4,239.7,9.15,18003,6861,1080,49,F,CAN,ON,Oakville,19600
"Wonning, Tammie S.",25.63,51.42,111.4,117.73,142.38,176.6,213.52,249.08,264.15,10.08,22516,9400,1648,42,F,USA,MD,Silver Spring,19601
"Richard, Dan",25.5,51.18,108.62,116.1,145.3,184.07,220.93,259.22,276.63,10.57,24366,13975,1399,56,M,USA,MA,Attleboro,19602
"Bhalla, Jennifer A.",25.63,51.55,103.22,108.98,129.63,156.1,182.5,208.82,219.93,8.4,12420,3689,2530,39,F,USA,OR,Hillsboro,19603
"Riese, Jill C.",25.98,52.08,106.23,112.08,136.8,169.58,205.5,239.57,253.47,9.68,20681,8411,4352,37,F,USA,NE,Lincoln,19604
"Mulford, Stewart",25.03,50.22,100.9,106.65,128.83,163.28,200.6,268.15,285.8,10.92,25584,14532,1455,56,M,USA,NC,Wilmington,19605
"Guy, Scott",26.73,53.82,110.2,116.47,141.45,177.38,213.95,257.83,271.72,10.37,23711,13676,1359,55,M,USA,MI,Rochester Hills,19606
"Coggins, Monty",25.87,51.95,104.18,109.97,130.92,160.52,189.67,218.5,231.52,8.83,15716,10143,823,57,M,USA,NC,Kannapolis,19607
"Leslie, Gretchen A",26.47,52.12,104.88,110.88,133.53,166.67,203.18,236.95,252.68,9.65,20552,8335,774,50,F,USA,PA,Camp Hill,19609
"Pelletier, Manon",25.3,50.55,104.43,110.2,132.17,160.87,189.95,218.45,230.48,8.8,15421,5397,330,54,F,CAN,QC,St-Jerome,19610
"Kimoto, Wayne S",25.83,51.73,105.13,111.05,133.03,163.37,194.72,224.53,237.27,9.05,17343,10839,350,60,M,USA,HI,Honolulu,19611
"Taylor, Jessica",26.32,53.0,106.87,112.8,134.42,164.28,193.75,222.6,234.52,8.95,16585,6078,3568,37,F,USA,WI,Wauwatosa,19612
"Sohn, Catherine",25.55,50.2,101.88,107.67,128.6,156.22,184.58,212.78,225.22,8.6,13973,4560,2964,38,F,USA,CA,Berkeley,19613
"Turner, Terry G.",25.67,51.68,105.33,111.1,131.65,158.67,185.97,212.25,224.37,8.57,13717,9304,671,55,M,USA,VA,Chester,19615
"Kochan, Michelle",26.05,51.8,104.08,109.82,130.48,156.82,183.12,209.32,220.62,8.42,12597,3780,375,46,F,USA,PA,Cranberry Township,19616
"Colehamer, Glenn",24.8,49.93,100.7,106.25,126.43,153.55,181.93,212.57,229.02,8.75,15030,9854,221,63,M,USA,CA,Huntington Beach,19617
"Wood, Philip W.",26.82,55.27,114.93,121.37,145.6,178.02,212.37,246.28,260.93,9.97,22022,12888,644,60,M,USA,NY,East Greenbush,19618
"Case, Kristina A.",25.47,50.5,101.35,107.02,128.2,157.15,187.33,218.78,231.9,8.85,15814,5629,1004,41,F,USA,AK,Anchorage,19620
"Ortega, Johanna F",24.5,48.9,98.85,104.33,124.58,151.33,179.9,207.83,219.42,8.38,12248,3598,581,41,F,USA,TX,Allen,19621
"Dupont, Eve",25.22,50.18,99.97,105.42,125.07,150.3,175.95,201.88,212.95,8.13,10214,2522,353,40,F,CAN,QC,Drummondville,19622
"Gay, Chari M.",25.63,51.4,102.95,108.57,128.9,156.35,187.0,217.27,229.58,8.77,15165,5252,939,40,F,USA,MO,Manchester,19623
"Guthrie, Lori J",30.88,63.13,141.13,148.42,178.78,222.43,272.6,319.22,337.18,12.87,29953,13260,2160,49,F,USA,MI,Berkley,19624
"Hasegawa, Naomi",25.1,49.58,99.6,105.93,127.1,155.57,184.57,213.78,226.27,8.63,14257,4727,558,48,F,JPN,others,Tokyo,19625
"August-Abbott, Beth",23.88,47.33,94.22,99.32,118.68,145.82,176.07,207.67,220.87,8.43,12684,3827,633,40,F,USA,CO,Boulder,19626
"Glanville, Kelly A",25.03,49.08,100.18,105.93,128.53,161.17,227.77,275.82,294.52,11.23,26665,11592,1930,41,F,USA,WA,Seattle,19627
"Fossen, Richard F Jr.",27.17,54.87,107.93,113.77,138.08,167.7,200.98,235.88,250.02,9.55,20039,11996,1142,55,M,USA,WI,Minocqua,19628
"Gitney, Peter P",25.02,50.32,102.33,107.85,127.93,154.45,182.35,211.08,223.45,8.53,13459,9188,648,57,M,USA,MD,Chesapeake City,19629
"Jones, Raymond B.",26.6,53.72,111.38,117.62,139.93,168.23,198.13,231.83,248.0,9.47,19646,11822,1110,56,M,CAN,MB,Winnipeg,19630
"Holland, Stuart R.",25.28,50.43,99.98,105.43,124.63,150.97,182.12,223.53,236.37,9.02,17105,10723,932,57,M,USA,CA,Chino,19631
"Signorella, Arthur",23.9,49.1,101.43,107.37,129.07,162.43,196.98,243.62,268.78,10.27,23265,13474,1335,58,M,USA,PA,Pittsburgh,19632
"Akram, Leslie",25.97,53.18,105.37,111.22,133.05,163.88,198.15,229.92,244.43,9.33,19003,7466,4027,39,F,USA,MN,Buffalo,19633
"Kolda, Lisa",25.35,50.08,99.6,105.05,125.0,151.28,178.8,205.97,217.72,8.32,11695,3291,2317,35,F,USA,SD,Sioux Falls,19634
"Zajec, Melissa M",25.03,50.58,100.22,105.77,126.07,155.08,183.48,213.57,226.58,8.65,14352,4791,3062,37,F,USA,WI,New Richmond,19635
"Roach, Richard M.",27.17,57.52,127.03,135.5,167.52,219.08,272.77,324.18,345.22,13.17,30386,16890,1038,60,M,USA,FL,Lady Lake,19636
"Winsor, Cristina",25.58,51.18,102.42,107.92,127.75,153.75,179.9,206.77,218.85,8.35,12056,3489,342,45,F,USA,MA,Wakefield,19637
"Ozahowski, Tomas P",26.57,52.83,104.87,110.5,130.67,157.2,183.87,210.83,223.6,8.53,13497,9204,169,63,M,USA,VT,Thetford,19638
"Hampton, Petra",23.33,47.28,101.93,107.88,130.25,160.97,194.58,229.72,244.4,9.33,18998,7461,1226,49,F,USA,WY,Rock Springs,19639
"Christy, Amy S",25.92,52.12,105.23,111.15,132.53,162.27,195.05,226.03,239.1,9.13,17842,6775,1222,41,F,USA,OH,Powell,19640
"Christoff, Valerie",24.72,49.28,100.97,106.62,126.85,153.82,181.68,208.48,219.85,8.4,12407,3682,602,43,F,USA,PA,Ligonier,19641
"Shumaker, Jacey Z",24.47,50.58,106.45,112.7,136.33,168.17,202.53,237.0,251.62,9.6,20364,8228,1459,41,F,USA,MA,Natick,19642
"Demers-Bourgeois, Aimee E.",25.18,50.15,102.48,108.42,130.22,160.47,193.83,226.87,241.85,9.23,18463,7134,3919,36,F,USA,NY,Plattsburgh,19643
"Santos, Jose",29.08,57.48,117.03,123.27,147.6,180.8,214.43,249.25,262.4,10.02,22249,13004,1285,57,M,CAN,ON,Bolton,19644
"Asciutti, Stefania",24.23,49.42,100.65,106.27,126.73,154.17,182.07,208.5,219.97,8.4,12430,3694,2534,35,F,USA,NY,New York,19645
"Bentley, Mandy",24.75,49.6,101.28,107.07,129.2,159.77,196.2,232.73,247.38,9.45,19555,7769,4135,36,F,USA,TX,Pearland,19646
"Sakata, Hideaki",27.0,54.05,109.27,115.23,137.2,166.42,195.48,221.85,233.08,8.9,16110,10319,290,61,M,JPN,others,Hanyu,19647
"Russell, Casey R",27.07,53.05,104.7,110.47,132.37,161.43,190.77,218.55,231.2,8.83,15633,5524,977,41,F,USA,CO,Denver,19648
"Heinen, Paula J",27.78,55.52,112.15,118.5,141.43,173.13,207.18,242.08,257.18,9.82,21348,8784,1557,40,F,CAN,AB,Sturgeon County,19649
"Delanoy, Nancy",24.72,50.18,107.27,113.38,138.9,178.68,216.55,255.23,270.62,10.33,23539,9942,1018,51,F,USA,WA,Sammamish,19651
"Wadman, Vicki S",24.27,47.87,96.6,101.98,122.02,148.3,176.17,204.55,216.35,8.27,11246,3053,108,50,F,USA,CA,Costa Mesa,19652
"Gosling, Mary",25.28,51.12,102.93,108.67,129.08,155.78,182.57,208.27,219.33,8.37,12214,3584,142,52,F,USA,NH,Meredith,19655
"King, Jennifer R",26.12,52.25,104.75,110.62,132.33,162.5,195.92,231.37,245.35,9.37,19184,7556,1362,42,F,USA,WA,Seattle,19656
"Gonzalez Quinteiro, Julia",26.37,53.12,108.73,114.82,136.95,166.37,196.33,225.42,238.02,9.08,17554,6616,1188,43,F,VEN,others,Caracas,19657
"Mosher, Michele M",26.87,53.9,108.88,114.77,136.05,164.9,194.92,223.57,236.0,9.02,17013,6328,1127,43,F,USA,MA,Boxborough,19658
"Wasson, Timothy D.",23.85,48.75,100.33,106.03,126.97,154.7,183.4,213.77,227.58,8.68,14632,9668,738,57,M,USA,OH,Reynoldsburg,19660
"Berryman, Catherine",25.47,50.88,103.87,109.8,131.55,161.12,193.3,223.73,236.55,9.03,17172,6418,3680,38,F,USA,PA,Philadelphia,19662
"Evans, Evan J.",25.37,50.78,102.5,108.17,129.02,156.03,184.53,211.98,224.03,8.55,13622,9265,660,56,M,USA,IN,Carmel,19663
"Davis, Andie",25.75,53.58,105.33,111.07,133.13,162.72,194.3,225.65,239.7,9.15,18002,6860,553,54,F,USA,NY,Glen Oaks,19665
"Suits, Mary E",25.2,50.77,105.4,111.27,134.38,168.25,203.75,239.32,253.67,9.68,20718,8432,1497,41,F,USA,TX,Longview,19666
"Tiongson, Luni",26.53,52.35,105.53,111.38,133.25,163.13,194.92,227.03,242.07,9.23,18503,7156,1284,40,F,USA,IL,Skokie,19667
"Chmiel, Ray G",27.95,53.63,103.88,109.18,129.35,154.85,180.38,205.73,217.68,8.32,11684,8402,506,56,M,USA,NE,Mccook,19668
"Brennan, Tonya P.",24.93,49.67,99.97,105.42,124.85,151.93,178.77,204.92,216.48,8.27,11293,3079,2198,37,F,CAN,NS,Halifax,19669
"O'Brien, Lois",26.53,52.4,104.28,109.93,130.68,158.43,189.35,224.12,236.6,9.03,17183,6424,3682,39,F,USA,MN,Rogers,19670
"Peckiconis, Stephen",24.55,50.68,106.32,112.32,133.82,162.75,196.43,238.87,253.42,9.67,20670,12265,1171,55,M,USA,MA,Roslindale,19671
"Berger, Michael A",23.55,46.78,95.82,101.27,121.78,149.22,178.02,206.67,218.75,8.35,12024,8555,119,60,M,USA,GA,Atlanta,19672
"Watts, Lisa M",25.82,51.87,103.9,109.58,130.5,158.38,187.13,213.82,226.05,8.63,14204,4696,818,41,F,USA,TX,Kerrville,19673
"Thoen, Susan L",25.85,51.68,115.42,122.62,149.2,183.08,219.28,258.52,274.28,10.47,24074,10229,1768,43,F,USA,NY,Penfield,19674
"Johnson, Victoria L",25.6,52.35,108.85,115.03,137.83,168.6,201.07,234.9,249.33,9.52,19917,7967,1416,42,F,USA,CA,La Verne,19675
"Westra, Jennifer",28.53,56.37,112.07,118.0,139.18,169.98,198.03,227.67,239.85,9.15,18049,6890,3838,36,F,USA,WA,Spokane,19676
"Clancy, James M.",25.32,51.47,107.37,113.9,141.77,180.88,241.88,291.15,313.58,11.97,28376,15933,1603,59,M,USA,NY,Walden,19677
"Kavalunas, Lynn G.",24.93,49.68,102.85,108.65,130.68,160.37,191.57,221.83,235.07,8.97,16748,6174,452,51,F,USA,MI,West Branch,19678
"Duchock, Katie",26.6,53.2,107.57,113.28,133.95,161.53,190.28,218.83,231.58,8.83,15741,5587,761,45,F,USA,FL,Boynton Beach,19679
"Retz, Kirsten",25.53,51.48,104.38,109.9,134.05,164.52,195.72,224.1,236.37,9.02,17104,6382,1138,42,F,USA,CA,Redondo Beach,19680
"Davey, Becky",25.5,51.07,103.18,108.92,129.9,158.35,188.0,216.6,230.1,8.78,15334,5345,3285,37,F,USA,PA,Kennett Square,19681
"Gaubatz, Kurt T",27.57,55.65,112.28,118.63,140.87,170.7,202.15,235.88,250.05,9.55,20052,12005,1145,56,M,USA,VA,Norfolk,19682
"Chung, Jay",24.9,49.6,99.8,105.3,125.7,153.27,182.68,213.62,228.98,8.75,15018,9849,769,57,M,USA,NY,Albertson,19683
"Thielke, Gwen A",25.43,49.68,98.12,103.52,122.82,149.0,175.6,201.85,213.62,8.15,10404,2624,1936,35,F,USA,MN,Champlin,19684
"Chin, Colleen L",24.93,50.2,100.67,106.2,126.22,152.67,180.05,207.12,219.25,8.37,12185,3566,573,40,F,USA,MA,Milton,19685
"Wilch, Deb",24.8,49.8,100.23,105.72,125.8,153.6,183.53,214.5,228.1,8.7,14779,5039,3155,37,F,USA,OH,Westerville,19686
"Zetye, Julia C.",24.95,49.67,99.82,105.28,124.95,151.08,178.13,205.38,216.8,8.28,11391,3129,2224,37,F,USA,CT,Colebrook,19687
"Brault, Paul",25.68,51.67,106.52,112.82,136.92,172.4,212.53,256.13,274.48,10.48,24093,13853,1384,55,M,CAN,MB,Winnipeg,19688
"Schonborn, Alan",25.02,49.43,98.27,103.45,122.67,147.87,173.4,198.78,210.12,8.02,9374,7256,284,55,M,USA,TX,Dallas,19689
"Jobin, Manon",25.52,51.43,104.7,110.83,136.03,169.12,203.85,236.62,250.57,9.57,20150,8102,732,51,F,CAN,QC,Trois-Rivieres,19690
"Reyes, Soledad Sr.",26.17,52.42,105.37,111.13,131.93,159.63,187.23,214.35,226.82,8.67,14413,4827,580,46,F,CHI,others,Santiago,19691
"Kiely, Don",24.48,48.62,97.63,103.0,122.65,149.77,180.22,211.02,225.27,8.6,13992,9422,690,56,M,USA,AK,Fairbanks,19692
"Kopcha, Christine",27.72,56.4,114.52,120.75,143.85,174.28,203.73,231.57,244.15,9.32,18929,7427,4016,39,F,USA,CT,Old Saybrook,19693
"Reppert, Karla K",25.78,51.45,103.72,109.47,130.05,157.02,185.23,213.43,224.82,8.58,13854,4494,2932,39,F,USA,PA,Wernersville,19694
"Golden, Cyndi E",24.75,53.12,109.35,115.4,138.7,177.08,212.52,247.27,260.58,9.95,21962,9103,1603,40,F,USA,TX,Houston,19696
"Loyd, Gretchen B",25.58,52.95,103.45,109.0,128.95,154.92,181.43,207.83,219.42,8.38,12250,3599,582,40,F,USA,FL,Gainesville,19697
"Balsama, Dena",26.07,51.65,104.47,110.3,132.35,161.72,194.87,225.92,239.25,9.13,17883,6792,1226,40,F,USA,NJ,Swedesboro,19698
"Thomas, Melissa C",25.27,50.25,100.48,106.0,126.27,155.77,186.03,216.67,230.33,8.8,15390,5383,3301,36,F,USA,CO,Westminster,19699
"Bennett, Richard A",25.95,51.82,101.75,107.2,127.18,154.57,185.6,218.47,231.9,8.85,15818,10187,268,62,M,CAN,NB,Dieppe,19700
"DeCourcy, Tracy E.",26.17,53.4,109.95,116.17,139.38,169.95,200.85,230.83,243.57,9.3,18818,7355,629,53,F,USA,IL,Plainfield,19701
"Chaisson, Jackie",27.67,55.4,110.9,116.88,139.25,169.7,201.2,236.32,251.13,9.58,20271,8181,1448,43,F,CAN,PE,Charlottetown,19702
"Green, Beverley L.",25.48,50.67,102.28,107.87,128.43,155.85,184.4,211.67,223.93,8.55,13596,4343,750,40,F,GBR,others,London,19703
"Sebra, Amanda P",24.93,50.32,101.42,106.78,126.68,152.62,180.17,211.68,227.17,8.67,14522,4896,3103,36,F,USA,PA,Exton,19704
"Fallis, John",26.17,53.3,112.7,120.27,154.48,209.63,264.92,318.28,341.68,13.03,30212,16802,482,69,M,USA,IN,Hagerstown,19706
"McCullough, Sarah",24.35,47.8,94.52,99.6,118.08,142.5,168.3,195.1,207.38,7.92,8488,1731,49,51,F,USA,ND,Bismarck,19707
